,ID,PROJECT_NAME,NAME,DURATION,CREATED,STARTED_BY,PASSED,FAILED,SKIPPED,BROKEN
128,10554,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #506,0.79685,2023-04-17 05:25:27,system,8,0,0,0
129,10539,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #505,0.9414333333333332,2023-04-16 04:56:49,system,8,0,0,0
130,10530,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #504,0.7927333333333333,2023-04-15 05:26:34,system,8,0,0,0
131,10469,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #503,0.8411833333333333,2023-04-14 05:26:33,system,8,0,0,0
132,10389,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #502,0.7808499999999999,2023-04-13 05:28:08,system,8,0,0,0
133,10325,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #501,0.8413333333333333,2023-04-12 04:56:05,system,8,0,0,0
134,10284,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #500,0.7888833333333333,2023-04-11 05:25:33,system,8,0,0,0
135,10225,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #499,0.87475,2023-04-10 05:26:22,system,8,0,0,0
136,10214,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #498,0.8082999999999999,2023-04-09 05:23:00,system,8,0,0,0
137,10193,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #497,0.7754666666666666,2023-04-08 05:21:24,system,8,0,0,0
138,10138,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #496,0.7742,2023-04-07 05:00:18,system,8,0,0,0
139,10098,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #495,0.7415333333333333,2023-04-06 05:02:14,system,8,0,0,0
140,10060,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #494,0.7405333333333334,2023-04-05 04:57:03,system,8,0,0,0
141,10030,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #493,0.8865333333333333,2023-04-04 04:54:17,system,8,0,0,0
142,9998,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #492,0.8750833333333333,2023-04-03 11:59:07,system,8,0,0,0
143,9982,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #491,1.7737833333333335,2023-04-03 05:32:59,system,0,8,0,0
144,9972,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #490,1.7402000000000002,2023-04-02 05:39:10,system,0,8,0,0
145,9961,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #489,0.8752666666666666,2023-04-01 04:53:15,system,8,0,0,0
146,9928,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #488,0.741,2023-03-31 05:07:36,system,8,0,0,0
147,9889,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #487,0.8747666666666666,2023-03-30 04:56:37,system,8,0,0,0
148,9849,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #486,0.7738833333333334,2023-03-29 05:18:51,system,8,0,0,0
149,9813,Admin panel,KazanExpress/ke-auto-tests - Run Admin Tests #test #485,0.87515,2023-03-28 08:19:30,system,8,0,0,0
150,10874,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #295,0.7091333333333334,2023-04-25 05:29:05,system,1,0,0,0
151,10815,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #294,0.6268999999999999,2023-04-24 05:27:58,system,1,0,0,0
152,10804,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #293,0.7413666666666666,2023-04-23 05:30:57,system,1,0,0,0
153,10795,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #292,0.7080666666666667,2023-04-22 05:29:55,system,1,0,0,0
154,10784,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #291,0.7081333333333333,2023-04-21 05:27:44,system,1,0,0,0
155,10720,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #290,1.0067833333333334,2023-04-20 05:24:29,system,1,0,0,0
156,10662,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #289,1.3085166666666666,2023-04-19 05:07:30,system,0,1,0,0
157,10619,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #288,0.6747166666666666,2023-04-18 05:27:03,system,1,0,0,0
158,10555,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #287,0.7408666666666667,2023-04-17 05:26:58,system,1,0,0,0
159,10541,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #286,0.7403666666666666,2023-04-16 05:31:20,system,1,0,0,0
160,10531,Dshops,KazanExpress/ke-auto-tests - Run Dshops Tests #test #285,0.72105,2023-04-15 05:28:02,system,1,0,0,0
